rank_na_disciplina,escola_id,n_obs,efeito_ajustado,ic_inferior,ic_superior,classificacao,confianca_estatistica
1,7302821136493122512,413,1.3119839891908107,1.174191666557675,1.4497763118239464,forte_positivo,significativo
2,-2927176673102842913,346,1.2524395927982708,1.1021874302020043,1.4026917553945373,forte_positivo,significativo
3,5819877652477808414,127,1.2312206927275045,0.9881623860422287,1.47427899941278,forte_positivo,significativo
4,-8048261876750746043,351,1.136784001246076,0.9875805177412206,1.2859874847509312,forte_positivo,significativo
5,-4336750145478544435,299,1.039078270718271,0.8777497547773465,1.2004067866591956,forte_positivo,significativo
6,-6064222982637392725,637,1.025032912770605,0.913689012244299,1.1363768132969112,forte_positivo,significativo
7,8154400948217762758,591,1.0065450758517136,0.8910080198513413,1.122082131852086,forte_positivo,significativo
8,-680061546817143287,682,0.9953594408702661,0.8877050921342109,1.1030137896063212,forte_positivo,significativo
9,5888237910291582221,482,0.9542846547158534,0.8265524076900761,1.0820169017416308,forte_positivo,significativo
10,2835708658374073181,377,0.9534801076232077,0.8093966539932202,1.097563561253195,forte_positivo,significativo
