rank_na_disciplina,escola_id,n_obs,efeito_ajustado,ic_inferior,ic_superior,classificacao,confianca_estatistica
1,8942893904724328685,547,0.9351021778087968,0.8264230402138081,1.0437813154037854,forte_positivo,significativo
2,8553093689994102595,267,0.7247811272179046,0.5704345097116545,0.8791277447241546,forte_positivo,significativo
3,-1919509798003260919,418,0.6263536671472382,0.5023171855293551,0.7503901487651212,forte_positivo,significativo
4,-9172664727068357556,2,0.603733876691015,-0.19331003961797366,1.4007777930000036,forte_positivo,inconclusivo
5,-3865739784859314670,381,0.52752890594707,0.39773218815943623,0.6573256237347038,forte_positivo,significativo
6,2701015999965004699,673,0.45356765518318853,0.35545102872388357,0.5516842816424935,forte_positivo,significativo
7,2189712848887878684,434,0.3830218479681218,0.2612493852513057,0.5047943106849379,forte_positivo,significativo
8,895078441089094783,296,0.3774268952724831,0.2306184302897971,0.524235360255169,forte_positivo,significativo
9,384857847071690409,328,0.3538396738857133,0.21418987550272836,0.4934894722686982,forte_positivo,significativo
10,-6404347558553833923,419,0.32535178452428637,0.2014605193548854,0.44924304969368734,forte_positivo,significativo
