rank_na_disciplina,escola_id,n_obs,efeito_ajustado,ic_inferior,ic_superior,classificacao,confianca_estatistica
1,-988422129575912115,183,1.435909371239748,1.2612394047431377,1.6105793377363582,forte_positivo,significativo
2,-4436475629028417896,311,1.2510250935125908,1.1159164790859015,1.3861337079392801,forte_positivo,significativo
3,3616125735316295692,302,1.164626020385862,1.027568044420678,1.301683996351046,forte_positivo,significativo
4,-4169831979235977272,620,1.090654687622116,0.9943862998230553,1.1869230754211766,forte_positivo,significativo
5,4039422856044025279,6,1.0724388925661603,0.4198166295150969,1.7250611556172237,forte_positivo,significativo
6,8767898826570848883,224,1.0571575416401715,0.8986966957738369,1.215618387506506,forte_positivo,significativo
7,-2014962261870127876,592,1.026315090291831,0.9278247976840862,1.1248053828995757,forte_positivo,significativo
8,-3323866715098106364,138,1.0250999327039523,0.8252615928825281,1.2249382725253766,forte_positivo,significativo
9,2899499393213788351,302,1.0163061621553648,0.8792481861901809,1.1533641381205488,forte_positivo,significativo
10,-2142310480905903272,349,1.0083557965251215,0.8806474092333586,1.1360641838168846,forte_positivo,significativo
